Company Name,Title,Location,Stipend
SR Edu Technologies,Video Presenter,Work From Home,"₹ 20,000-30,000 /month"
Everstylish Lifestyle Private Limited,Social Media Marketing,Delhi,"₹ 15,000 /month"
Yoliday LLP,Tour Guiding,Bangalore,"₹ 5,000 /month"
Made By India,Marketing & Sales,Delhi,"₹ 6,000 /month"
Nikita Gada Label,Fashion Design And Merchandising,Panvel,"₹ 11,000 /month"
Bilateral Solutions Private Limited,Embedded Electronics Engineering,Navi Mumbai,"₹ 12,000 /month"
OML Entertainment Private Limited,Branded Content Marketing,Vashi Navi Mumbai,"₹ 15,000 /month"
Gnani Innovations,Marketing,Mumbai,"₹ 15,000 /month"
HireQuotient,Sales Consultant,Hyderabad,"₹ 12,000 /month"
Bootstrap Digital Solutions,Social Media Marketing,Greater Noida,"₹ 10,000-15,000 /month"
Pro India,Social Work,Noida,"₹ 2,000 /month"
The Overseas Consultant,Customer Service/Customer Support,Delhi,"₹ 5,000-7,000 /month"
Gold Feather Events,Business Development (Sales),Hyderabad,"₹ 7,500 /month"
TechWhoop,Video Editing/Making,Gurgaon,"₹ 5,000 /month"
WEMATTER PXT Limited,Business Development (Sales),Work From Home,"₹ 15,000 /month"
EG Allied Private Limited,Graphic Design,Noida,"₹ 2,000 /month"
Gulshan Lamee Pack Private Limited,Executive Assistant,Mumbai,"₹ 10,000-15,000 /month"
Bootstrap Digital Solutions,Graphic Design,Mandi,"₹ 5,000-12,000 /month"
Recipeat,Inside Sales,Mumbai,"₹ 12,000-18,000 /month"
Marmeto,Video Editing/Making,Bangalore,"₹ 5,000-10,000 /month"
Credmarg,Business Development (Sales),Bangalore,"₹ 2,000 /month +  Incentives"
EG Allied Private Limited,Technical Recruitment,Pitampura,"₹ 2,000 /month"
YourDOST Health Solutions,Content Writing,Gurgaon,"₹ 15,000 /month"
Jarvics Technologies,Graphic Design,Mumbai,"₹ 7,000-15,000 /month"
Pro India,Electrical Engineering,Hyderabad,"₹ 5,000 /month"
Petrichor Investment Private Limited,Content Writing,Work From Home,"₹ 10,000 /month"
Hamari Pahchan NGO,Video Editing/Making,Mumbai,"₹ 10,000-12,000 /month"
Nxcar,Video Editing/Making,Work From Home,"₹ 15,000 /month"
APTAGRIM CONSULTING PRIVATE LIMITED,Video Editing/Making,Delhi,"₹ 15,000 /month"
RankItRight Media,Content Writing,Bangalore,"₹ 25,000 /month"
U ARE (Jeweltaire Lifestyle Private Limited),Data Entry,Patiala,"₹ 10,000 /month"
Wagtail Industries,Digital Marketing,Kharar,"₹ 7,000-12,000 /month"
SR Edu Technologies,Animation,Mohali,"₹ 10,000-20,000 /month"
Righteous Mind Infosystem Private Limited,Business Development (Sales),Zirakpur,"₹ 4,000 /month +  Incentives"
Gloval International,Marketing And Sales,Chandigarh,"₹ 8,000-15,000 /month"
Kan Media Planner,Business Development (Sales),Gurgaon,"₹ 10,000 /month"
4AM Worldwide Advertising Private Limited,Client Servicing,Hyderabad,"₹ 10,000 /month"
Able Jobs,Operations,Delhi,"₹ 10,000-15,000 /month"
YourDOST Health Solutions,Operations,Faridabad,"₹ 15,000-18,000 /month"
